Amount,Time,Feature1,Feature2,Fraud
1900.99,29302,-2.553921134901955,1.6699045043514062,0
2006.54,11872,-1.1032083657216831,0.30179189981946597,0
4648.1,4896,-0.5765104007267194,-0.78489831308224,0
3400.98,86270,0.49097495163825133,1.4926885689595217,0
4256.02,40462,-0.6777153697521061,-0.19365945927971812,0
3588.46,9716,-1.4789115687741288,-0.8874921778021001,0
4093.72,71309,0.5078357562896237,-2.8722622132816493,0
2154.88,10755,0.0030460201534144695,-1.2242982362893657,1
4588.84,18074,-0.172946059923423,-0.5518581458924467,0
13.92,70972,1.0399046873960764,1.2083662305931424,0
2232.32,49842,-0.5286166817497568,0.06699071722487192,0
2576.36,61930,1.8260097135469362,0.5925269492011831,0
357.33,72983,1.1906462747863413,-0.8505204542093001,1
3577.74,46480,-0.38817681854122876,1.2897527540827456,1
4883.65,16164,-0.015309849172995557,0.7223813578277714,0
2979.16,7968,2.056207129940322,-0.9983854391882915,0
709.73,31056,1.328194141849058,0.14088624691120394,0
1152.0,63741,0.9960476858058164,-0.372206776071053,0
2284.84,72147,0.6628812686674127,-0.021367294348436157,0
1154.92,60546,0.7348777860498175,-0.2711236010425688,0
80.09,23430,0.26859227886325693,-0.5327008396619114,0
2964.47,77867,1.6073455760199926,-0.8031789506803448,0
262.64,39923,0.18102155870370695,-2.4242402602729416,0
2612.88,84329,0.11958036841415326,1.7269638512334051,0
973.6,18753,-0.22476540189268354,0.4446026682201407,0
832.49,82206,-1.1701130260593595,1.196631486645651,0
4808.37,59475,0.3088330125989638,0.7942646796218271,0
4116.05,5783,0.5792914996010884,-0.372833152091767,0
2661.77,76560,-2.59104229214491,0.648280433843859,0
2905.08,10700,-0.5462444482524828,-0.12094814860778157,0
4483.67,81438,0.43693816974634986,-0.20902325728602528,1
1477.1,55115,-0.933267959073196,-1.7608088119807759,0
2985.64,73966,0.45588777208160763,0.32316771418478146,0
350.59,35263,-0.1671217137864115,-0.22647889190152676,0
1176.94,52131,1.2004139079444254,-1.024186824329205,0
4346.43,72910,-0.6568942789713957,1.8540925663341883,0
3273.81,48232,-1.4848979684499035,0.5885784044206096,1
3833.51,24227,-0.3653215513121087,-0.08268068584269925,0
749.37,6722,0.1846803058649084,-0.12174750838328353,0
4078.93,83363,-1.6135613978767411,0.18455130319703697,0
2632.97,10383,-0.20932367715186612,2.006092888159123,0
1373.43,37686,0.5562300094006599,-1.7684393655628516,0
1356.47,18269,-0.24869112618354708,0.9135846262332494,0
3849.95,63134,1.301741289398798,0.6963874474567153,0
3087.14,13396,-1.8019804375800197,-0.6097829043193822,0
1718.46,74271,-0.27681329988892067,1.2269332238843076,0
2677.26,48896,0.5366527525272862,0.5820977034686158,0
3357.45,73801,2.013387247526623,-0.7168223206028049,0
449.04,65062,0.3918040054025465,0.41953244390702776,0
3734.63,29329,-0.30246968648812833,0.38115838488277776,1
4112.14,39892,0.1605739810498646,-0.13845598398377382,1
3016.49,48245,0.538296079049633,-0.027514905050636255,0
293.21,31553,-0.25083301645504735,-1.1196174332890112,0
2364.99,55250,-1.0469109826819396,1.221033695525353,0
4159.48,52189,0.8604734883597454,-0.877982586756561,0
1031.72,64310,-0.7567950885694608,1.088748619704186,0
2615.9,85958,0.541462728204788,-0.1340171666729177,0
1804.5,60632,0.742095372009307,-0.17018462252492844,0
1668.51,46333,0.5863640187550933,0.5159392177040995,0
1868.17,65451,1.4711703274936085,1.5421099525678756,0
853.22,61589,2.601683114180395,-1.356581804623405,0
3190.29,64613,-0.6056155397368641,1.0240625258114624,0
4047.84,78223,0.13653533108273744,-1.86653661707306,0
616.99,35586,-0.9730689408815555,-0.39963618561460235,0
3348.34,55100,-0.5830774385689385,-0.82688035403986,0
1893.0,79365,-1.2968319479558466,0.8840453963610497,0
2047.98,70985,0.5655096456315442,0.46642998243352635,0
2000.13,19170,0.18335991977915564,-0.43745830032341043,0
3622.86,51113,0.0570131248970845,0.5136001065697166,0
3774.43,29795,0.24075317948856828,0.2935579321666293,0
1686.8,17348,1.0725073373098022,1.772251596669744,0
3190.17,29985,-1.4218106667418438,1.884586305934609,0
952.43,71967,1.173473857485325,-0.7472116791478234,0
1562.05,74521,0.7189533106650667,-0.9594392367234797,0
4529.55,45034,0.2992925804064919,-0.4532280493272752,0
3967.24,38068,-0.4432822511915103,-1.5256563145700948,0
562.41,4438,-0.6690727386599166,2.061503576636398,0
2120.3,56155,-1.3471262895296965,1.513449743242131,0
986.57,62712,0.9343199112392737,0.3946715298229811,0
